Links,Company Name,Address,Telephone,Mobile,Description,Tags
https://www.jtdirectory.com/listing/view/473280/silkworth-charity-group,Silkworth Charity Group,"6 Vauxhall Street,  St. Helier,  Jersey,  JE2 4TJ",,,"A safe and supportive environment.
                    

                        Together we will overcome addiction.
                    
Silkworth Charity Group dedicated Family Programme helps addiction to be understood as an illness and enables living in the solution rather than existing with the problem. The more support and understanding family and friends receive around addiction, the better chance of recovery for everyone.The more support and understanding family and friends receive around addiction, the better chance of recovery for everyone.

Family Programme
Family Workshops
9-Week Course
Weekly Support Group","Charities & Charity Shops
addiction
family addiction"
https://www.jtdirectory.com/listing/view/470335/silver-springs-care-home,SILVER SPRINGS CARE HOME,"La Route des Genets,  St. Brelade,  Jersey,  JE3 8DB",(01534) 742640,,SILVER SPRINGS CARE HOME,residential homes
https://www.jtdirectory.com/listing/view/473896/simalls-limited,Simalls Limited,"St. Helier,  Jersey,  JE2 4UA",,,Simalls Limited,accountants
https://www.jtdirectory.com/listing/view/474515/simon-larbalestier,Simon Larbalestier,"1 La Plaiderie,  Le Pollet,  St. Peter Port,  Guernsey,  GY1 1WF",(01481) 710781,,Simon Larbalestier,Opticians - Ophthalmic & Dispensing
https://www.jtdirectory.com/listing/view/470876/simple-simons,Simple Simons,"4 Charing Cross,  St. Helier,  Jersey,  JE2 3RP",(01534) 722335,,"We offer an extensive menu of hot and cold snacks and meals. We also offer catering for boardroom meetings and office events, and delivery is free to town locations. To save time, go to our online order form.

If you are planning a family function or club event, gives us a call, we'd be happy to help with your plans.

Simple Simons have been serving tasty, honest food since 1982. So if you haven't given us a try, pop in and make a delicious discovery.",caterers
https://www.jtdirectory.com/listing/view/474628/simply-roofing,Simply Roofing,,(07797) 841369,,"We are a local roofing company for all your roofing needs.
Fully trained and approved installers for 3M Scotchkote high performance liquid roofing membrane systems. From 5 to 25 year design life durable and versatile systems.  Our flat roofing systems are designed for new works or renewal of old existing roof surfaces. Our Emergency flat roof repairs can be carried out in all weather conditions.
                                    
3M Approved Installers",Roofing Contractors
https://www.jtdirectory.com/listing/view/470321/sinels,Sinels,"Charles House,  PO Box 595 Charles Street,  St. Helier,  Jersey,  JE4 9XE",,,"Sinels Advocates is a litigation law firm in Jersey with an international reputation and global capability, specialising in litigation and dispute resolution for commercial, private client, trusts and fund matters. We also provide advice on divorce, family and Wills and Probate disputes in Jersey. We represent high-net-worth individuals, Jersey residents and businesses of all sizes and we have cross-border capabilities advising on major litigation, private client, fraud, negligence, trusts and commercial deals and transactions.
 
Ranked in Legal 500 and Chambers, our Jersey lawyers are responsive, approachable and available when you need them, which is why we have long established relationships with finance companies, law firms and private clients throughout Jersey, Europe, Middle East, India, Asia and the Caribbean.
 
Services for business
 
We advise on major commercial litigation through to deal activity and restructuring, debt recovery, insolvency and everyday business activities. Our lawyers are responsive, accessible and available when you need them.
 
• Commercial & Corporate• Dispute Resolution lawyers• Employment law specialists• Fraud & Asset Tracing• Insolvency & Restructuring• Litigation – Banking & Finance, Commercial, Funds, Trusts• Regulatory adviceTrusts – contentious and non-contentious
 
Services for individuals
 
When you need legal help you’ll want it to be of the highest standard, value for money, and from lawyers who talk your language and don’t use unnecessary legal jargon. Our lawyers are friendly and approachable and provide legal support for all aspects of your private life.   
       
• Dispute Resolution & Avoidance• Divorce & Separation• Employment Law• Family & Children’s Law• LitigationMatrimonial• Professional and medical negligence• Trusts – contentious and non-contentious• Wills & Probate","solicitors
employment law
commercial law"
https://www.jtdirectory.com/listing/view/470331/sintel-global-limited,Sintel Global Limited,"P.O.Box 595,  St. Helier,  Jersey,  JE4 9XE",(01534) 620500,,Sintel Global Limited,Intelligence Agencies
https://www.jtdirectory.com/listing/view/470463/sirius-land-surveying-c-i-ltd,Sirius Land Surveying (C.I) Ltd,"The Stables (Oaklands),  La Rue D'Elysee,  St. Peter,  Jersey,  JE3 7DT",,,"Specialist surveying comapny offering a range of engineering and surveying services throughout the Channel Islands.
 
Topographical Surveys
High quality, to scale topographical survey drawings to meet your requirements. Equipped with Leica Viva robotic surveying equipment, together with LSS digital terrain modelling software we can work efficently to provide a good value of service.
 
Measured Building Surveys
Measured building surveys including floor plans, sections, elevations and structural detail surveys conducted independantly or referenced to a share grid system and level detum.
 
Monitoring
Is there movement? Measuring the 3 diensional position or level of strategically chosen points periodically allows for any movement in a building structure or land form to be measured accurately over a period of time.
 
Setting Out
The position and levels of planned structures to be established on the ground. The rpbotic surveying equipment used means one point to the next can be marked out quicly and efficently.
 
Eastwork Quantities
Computer-aided earthwork calculations including volume calculations and plan or slope areas.

Topographical surveys
Elevations
Setting Out
Ground monitoring
Internal Measured Surveys
Precision Monitoring",surveyors
https://www.jtdirectory.com/listing/view/471087/s-j-pallot-glass-fibre-roof-systems,S J Pallot Glass Fibre Roof Systems,"La Maison D'or,  Croix de Bois,  St. Saviour (JSY),  Jersey,  JE2 7TU",,,"Got problems with your rubberoid roof?  Want it fibreglassed?
We will fibreglass your roof and undertake any carpentry/insulation involved.  We also fit UPVC fascia, soffits and guttering.
Top quality workmanship by local tradesmen at competitive prices.

Fibreglass
Roofing Contractors
UPV
C Fascia
Guttering
Soffits
Competitive Prices","Roofing Contractors
roofing
roofer"
